smiles,pubchem,cirpy,exists_any,Has_CAS
CCc1cc(C#C[C@](CC(=O)N2C(=O)OC[C@@H]2Cc2ccccc2)(OC(C)=O)C2CCCC2)cc(CC)n1,False,True,True,False
C#C[C@](O)(CC(=O)N1C(=O)OC[C@@H]1c1ccccc1)C1CCCC1,False,True,True,False
O=C(C1CCCC1)n1ccnc1,False,True,True,False
C#[C][Mg][Cl],False,True,True,False
BrCCCCBr,False,True,True,False
CCc1cc(C#C[C@](O)(CC(=O)N2C(=O)OC[C@@H]2Cc2ccccc2)C2CCCC2)cc(CC)n1,False,True,True,False
C[Si](C)(C)C#C[C@](O)(CC(=O)N1C(=O)OC[C@@H]1c1ccccc1)C1CCCC1,False,True,True,False
O=C(O)C1CCCC1,False,True,True,False
C[Si](C)(C)C#C[C@](O)(CC(=O)N1C(=O)OC[C@@H]1Cc1ccccc1)C1CCCC1,False,True,True,False
CON(C)C(=O)C1CCCC1,False,True,True,False
CCOC(=O)C1(C(=O)OCC)CCCC1,False,True,True,False
O=C(O)C1(C(=O)O)CCCC1,False,True,True,False
COC(CS(=O)(=O)c1ccccc1)c1ccc2[nH]cc(CC3CCCN3C)c2c1,False,True,True,False
CCc1ccc2[nH]cc(CC3CCCN3C)c2c1,False,True,True,False
C=CS(=O)(=O)c1ccccc1,False,True,True,False
O=S(=O)(Cl)c1ccc(F)cc1,False,True,True,False
CC(C)(C)Nc1ccc(Br)cc1N,False,True,True,False
COC(=O)C(F)(F)S(=O)(=O)F,False,True,True,False
Nc1ccc2c(c1[N+](=O)[O-])C[C@]13CC[C@H](C1)C(=O)C(C(F)(F)F)=C23,False,True,True,False
O=C1C(I)=C2c3ccc4[nH]nnc4c3C[C@@]23CC[C@@H]1C3,False,True,True,False
COC(C)(C)n1nnc2c(CO)c(Br)ccc21,False,True,True,False
O=C1C=C2c3ccc4[nH]nnc4c3C[C@@]23CC[C@@H]1C3,False,True,True,False
CC(=O)n1nnc2ccc3c(c21)C[C@]12CC[C@H](C1)C(=O)C(C(F)(F)F)=C32,False,True,True,False
C[C@@]12CCCC(=O)N1[C@@H]1c3ccccc3C[C@@H]1O2,False,True,True,False
CC(=O)Nc1ccc2c(c1Cl)C[C@]13CC[C@H](C1)C(=O)C(I)=C23,False,True,True,False
CS(=O)(=O)OCCOc1ccccc1,False,True,True,False
COc1ccc(Br)c(CBr)c1,False,True,True,False
OCCOc1ccccc1,False,True,True,False
O=C1C=C2c3ccc(OS(=O)(=O)C(F)(F)F)c(Cl)c3C[C@@]23CC[C@@H]1C3,False,True,True,False
CS(=O)(=O)OS(C)(=O)=O,False,True,True,False
CC(=O)CC[C@@]1(CCOc2ccccc2)Cc2c(ccc3c2nnn3C(C)(C)C)C1=O,False,True,True,False
O=C1C=C2c3ccc4[nH]nnc4c3C[C@]2(CCOc2ccccc2)CC1,False,True,True,False
O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,False,True,True,False
CC(N)=O,False,True,True,False
C[C@@H]1CCC(CO)CN1,False,True,True,False
C[C@@H]1CC[C@@H](CO)C(=O)N1,False,True,True,False
CC1(C)OBOC1(C)C,False,True,True,False
COC(=O)[C@H]1CC[C@@H](C)NC1=O,False,True,True,False
